id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LoopStatement,M,NextConstantDefinition,NextID,NextStatement,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
243,,,,,r28,,,,,,,,,,,r28,,,r28,,,,,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,r32,,,,,,,,,,,r32,,,r32,,r32,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,r29,,,,,,,,,,,r29,,,r29,,r29,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,r28,,,,,,,,,,,r28,,,r28,,r28,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,r32,,,,,,,,,,,r32,,,r32,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,r29,,,,,,,,,,,r29,,,r29,,,,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,r28,,,,,,,,,,,r28,,,r28,,,,r28,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,254,256,,,,,,,,,,,271,,
252,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,254,256,,,,,,,,,,,272,,
253,,,,,,,,,,,,,,,,s131,,,s132,,s273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,r27,r27,,,,,,,,,,r27,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,r44,r44,,,,,,,,,,r44,,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,r30,r30,,,,,,,,,,r30,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,274,71,73,,,,,,,,,,,78,,
258,,,,,r31,r31,,,,,,,,,,r31,,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,s275,r23,,,,,,,,,,r23,,,r23,,,,,,s276,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,s275,r22,,,,,,,,,,r22,,,r22,,,,,,s276,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,s217,,,s219,,,,s221,,,,,,,,,,,,,,,,,,277,218,,,,,,,,,,,,,
262,,,,,,,,,,,s217,,,s219,,,,s221,,,,,,,,,,,,,,,,,,278,218,,,,,,,,,,,,,
263,,,,,,,r14,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,r32,,r32,,,,,,,,,r32,,,r32,,,r32,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,r29,,r29,,,,,,,,,r29,,,r29,,,r29,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,r28,,r28,,,,,,,,,r28,,,r28,,,r28,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,r35,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,r32,,,,,,,,,,,r32,,,r32,,,,,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,r29,,,,,,,,,,,r29,,,r29,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,r28,,,,,,,,,,,r28,,,r28,,,,,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,s275,r26,,,,,,,,,,r26,,,r26,,,,,,s276,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,s275,r25,,,,,,,,,,r25,,,r25,,,,,,s276,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,r32,r32,,,,,,,,,,r32,,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,s131,,,s132,,s279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,280,256,,,,,,,,,,,,,
276,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,281,256,,,,,,,,,,,,,
277,,,,,r29,r29,,,,,,,,,,r29,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,r28,r28,,,,,,,,,,r28,,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,r32,r32,,,,,,,,,,r32,,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,r29,r29,,,,,,,,,,r29,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,r28,r28,,,,,,,,,,r28,,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
³åÍ»×´Ì¬,
